NRHP reference number,Name,Locality,Locality,Coordinates,County
72000985,Sloop Point Plantation,Sloop Point,Sloop Point,,Pender
71000615,Newbold-White Plantation,Hertford,Hertford,,Perquimans
76001305,Belfont Plantation House,"Latham
35°37′6″N 77°8′14″W",Latham,35°37′6″N 77°8′14″W,Beaufort
73001294,Orton Plantation,"Smithville Township
34°3′38″N 77°56′47″W",Smithville Township,34°3′38″N 77°56′47″W,Brunswick
72000961,Old Town Plantation,"Battleboro
35°58′54″N 77°43′52″W",Battleboro,35°58′54″N 77°43′52″W,Edgecombe
73001318,Clear Springs Plantation,"Jasper
35°12′57″N 77°12′3″W",Jasper,35°12′57″N 77°12′3″W,Craven
Unknown Status,Turkey Branch Plantation (The Lilacs),"Turkey
34°59′35″N 78°11′3″W",Turkey,34°59′35″N 78°11′3″W,Duplin[13]
73001371,Ashland,"Henderson
36°25′55″N 78°22′09″W",Henderson,36°25′55″N 78°22′09″W,Vance
79001720,White Rock Plantation,"Hollister
36°17′40″N 77°55′25″W",Hollister,36°17′40″N 77°55′25″W,Halifax
76001316,Greenfield Plantation (Fordice's)[7],"Somer, near Somerset
36°3′13″N 76°26′33″W","Somer, near Somerset",36°3′13″N 76°26′33″W,Chowan
,Green Hill,Hillsborough,Hillsborough,,Orange
97001561,Potts Plantation,"Cornelius
35°28′45″N 80°50′13″W",Cornelius,35°28′45″N 80°50′13″W,Mecklenburg
71000570,King House,"Windsor
36°1′49″N 77°1′9″W",Windsor,36°1′49″N 77°1′9″W,Bertie
,Lipscomb House,Durham,Durham,,Durham
73001329,Oak Grove Plantation,"Godwin (near Erwin)
35°15′0″N 78°41′25″W",Godwin (near Erwin),35°15′0″N 78°41′25″W,Cumberland
79001711,Abrams Plains Plantation,"Stovall
36°28′58″N 78°30′51″W",Stovall,36°28′58″N 78°30′51″W,Granville
70000462,House in the Horseshoe (Alston House),"Carthage
35°28′1.6″N 79°23′0.5″W",Carthage,35°28′1.6″N 79°23′0.5″W,Moore
Family history[15],Gilreath Plantation,Gilreath,Gilreath,,Wilkes
70000472,Joel Lane House,Raleigh,Raleigh,,Wake
,Mulberry Island Plantation,Stoneville,Stoneville,,Rockingham
,Patterson Plantation,Durham,Durham,,Orange
